,type,feature_extractor,epoch,dataset,split,metric,value
401,trained,unfrozen,5999,Kangaroo-v5,train,accuracy,0
402,trained,unfrozen,5999,Kangaroo-v5,train,precision,0
403,trained,unfrozen,5999,Kangaroo-v5,train,recall,0
404,trained,unfrozen,5999,Kangaroo-v5,train,f1score,0
405,trained,unfrozen,5999,Kangaroo-v5,train,specificity,0
406,trained,unfrozen,5999,Kangaroo-v5,train,auc,0
407,trained,unfrozen,5999,Kangaroo-v5,train,iou,0
408,trained,unfrozen,5999,Kangaroo-v5,validation,loss,0.17115188855677843
409,trained,unfrozen,5999,Kangaroo-v5,validation,accuracy,0
410,trained,unfrozen,5999,Kangaroo-v5,validation,precision,0
411,trained,unfrozen,5999,Kangaroo-v5,validation,recall,0
412,trained,unfrozen,5999,Kangaroo-v5,validation,f1score,0
413,trained,unfrozen,5999,Kangaroo-v5,validation,specificity,0
414,trained,unfrozen,5999,Kangaroo-v5,validation,auc,0
415,trained,unfrozen,5999,Kangaroo-v5,validation,iou,0
416,trained,unfrozen,5999,Phoenix-v5,train,loss,0.32785857884073444
417,trained,unfrozen,5999,Phoenix-v5,train,accuracy,0
418,trained,unfrozen,5999,Phoenix-v5,train,precision,0
419,trained,unfrozen,5999,Phoenix-v5,train,recall,0
420,trained,unfrozen,5999,Phoenix-v5,train,f1score,0
421,trained,unfrozen,5999,Phoenix-v5,train,specificity,0
422,trained,unfrozen,5999,Phoenix-v5,train,auc,0
423,trained,unfrozen,5999,Phoenix-v5,train,iou,0
424,trained,unfrozen,5999,Phoenix-v5,validation,loss,0.3278072369284928
425,trained,unfrozen,5999,Phoenix-v5,validation,accuracy,0
426,trained,unfrozen,5999,Phoenix-v5,validation,precision,0
427,trained,unfrozen,5999,Phoenix-v5,validation,recall,0
428,trained,unfrozen,5999,Phoenix-v5,validation,f1score,0
429,trained,unfrozen,5999,Phoenix-v5,validation,specificity,0
430,trained,unfrozen,5999,Phoenix-v5,validation,auc,0
431,trained,unfrozen,5999,Phoenix-v5,validation,iou,0
432,trained,unfrozen,5999,Seaquest-v5,train,loss,0.1101416036398453
433,trained,unfrozen,5999,Seaquest-v5,train,accuracy,0
434,trained,unfrozen,5999,Seaquest-v5,train,precision,0
435,trained,unfrozen,5999,Seaquest-v5,train,recall,0
436,trained,unfrozen,5999,Seaquest-v5,train,f1score,0
437,trained,unfrozen,5999,Seaquest-v5,train,specificity,0
438,trained,unfrozen,5999,Seaquest-v5,train,auc,0
439,trained,unfrozen,5999,Seaquest-v5,train,iou,0
440,trained,unfrozen,5999,Seaquest-v5,validation,loss,0.11016910790931433
441,trained,unfrozen,5999,Seaquest-v5,validation,accuracy,0
442,trained,unfrozen,5999,Seaquest-v5,validation,precision,0
443,trained,unfrozen,5999,Seaquest-v5,validation,recall,0
444,trained,unfrozen,5999,Seaquest-v5,validation,f1score,0
445,trained,unfrozen,5999,Seaquest-v5,validation,specificity,0
446,trained,unfrozen,5999,Seaquest-v5,validation,auc,0
447,trained,unfrozen,5999,Seaquest-v5,validation,iou,0
448,trained,unfrozen,6999,DemonAttack-v5,train,loss,0.2175563555966399
449,trained,unfrozen,6999,DemonAttack-v5,train,accuracy,0
450,trained,unfrozen,6999,DemonAttack-v5,train,precision,0
451,trained,unfrozen,6999,DemonAttack-v5,train,recall,0
452,trained,unfrozen,6999,DemonAttack-v5,train,f1score,0
453,trained,unfrozen,6999,DemonAttack-v5,train,specificity,0
454,trained,unfrozen,6999,DemonAttack-v5,train,auc,0
455,trained,unfrozen,6999,DemonAttack-v5,train,iou,0
456,trained,unfrozen,6999,DemonAttack-v5,validation,loss,0.21753895639533727
457,trained,unfrozen,6999,DemonAttack-v5,validation,accuracy,0
