,type,feature_extractor,epoch,dataset,split,metric,value
326,trained,unfrozen,6999,Qbert-v5,train,auc,0
327,trained,unfrozen,6999,Qbert-v5,train,iou,0
328,trained,unfrozen,6999,Qbert-v5,validation,loss,0.2176749376150278
329,trained,unfrozen,6999,Qbert-v5,validation,accuracy,0
330,trained,unfrozen,6999,Qbert-v5,validation,precision,0
331,trained,unfrozen,6999,Qbert-v5,validation,recall,0
332,trained,unfrozen,6999,Qbert-v5,validation,f1score,0
333,trained,unfrozen,6999,Qbert-v5,validation,specificity,0
334,trained,unfrozen,6999,Qbert-v5,validation,auc,0
335,trained,unfrozen,6999,Qbert-v5,validation,iou,0
336,trained,unfrozen,7999,Phoenix-v5,train,loss,0.10858368873596191
337,trained,unfrozen,7999,Phoenix-v5,train,accuracy,0
338,trained,unfrozen,7999,Phoenix-v5,train,precision,0
339,trained,unfrozen,7999,Phoenix-v5,train,recall,0
340,trained,unfrozen,7999,Phoenix-v5,train,f1score,0
341,trained,unfrozen,7999,Phoenix-v5,train,specificity,0
342,trained,unfrozen,7999,Phoenix-v5,train,auc,0
343,trained,unfrozen,7999,Phoenix-v5,train,iou,0
344,trained,unfrozen,7999,Phoenix-v5,validation,loss,0.10879024863243103
345,trained,unfrozen,7999,Phoenix-v5,validation,accuracy,0
346,trained,unfrozen,7999,Phoenix-v5,validation,precision,0
347,trained,unfrozen,7999,Phoenix-v5,validation,recall,0
348,trained,unfrozen,7999,Phoenix-v5,validation,f1score,0
349,trained,unfrozen,7999,Phoenix-v5,validation,specificity,0
350,trained,unfrozen,7999,Phoenix-v5,validation,auc,0
351,trained,unfrozen,7999,Phoenix-v5,validation,iou,0
352,trained,unfrozen,7999,DemonAttack-v5,train,loss,0.0604793307629317
353,trained,unfrozen,7999,DemonAttack-v5,train,accuracy,0
354,trained,unfrozen,7999,DemonAttack-v5,train,precision,0
355,trained,unfrozen,7999,DemonAttack-v5,train,recall,0
356,trained,unfrozen,7999,DemonAttack-v5,train,f1score,0
357,trained,unfrozen,7999,DemonAttack-v5,train,specificity,0
358,trained,unfrozen,7999,DemonAttack-v5,train,auc,0
359,trained,unfrozen,7999,DemonAttack-v5,train,iou,0
360,trained,unfrozen,7999,DemonAttack-v5,validation,loss,0.06036336725236664
361,trained,unfrozen,7999,DemonAttack-v5,validation,accuracy,0
362,trained,unfrozen,7999,DemonAttack-v5,validation,precision,0
363,trained,unfrozen,7999,DemonAttack-v5,validation,recall,0
364,trained,unfrozen,7999,DemonAttack-v5,validation,f1score,0
365,trained,unfrozen,7999,DemonAttack-v5,validation,specificity,0
366,trained,unfrozen,7999,DemonAttack-v5,validation,auc,0
367,trained,unfrozen,7999,DemonAttack-v5,validation,iou,0
368,trained,unfrozen,7999,Qbert-v5,train,loss,0.21345153373295736
369,trained,unfrozen,7999,Qbert-v5,train,accuracy,0
370,trained,unfrozen,7999,Qbert-v5,train,precision,0
371,trained,unfrozen,7999,Qbert-v5,train,recall,0
372,trained,unfrozen,7999,Qbert-v5,train,f1score,0
373,trained,unfrozen,7999,Qbert-v5,train,specificity,0
374,trained,unfrozen,7999,Qbert-v5,train,auc,0
375,trained,unfrozen,7999,Qbert-v5,train,iou,0
376,trained,unfrozen,7999,Qbert-v5,validation,loss,0.21308239239912766
377,trained,unfrozen,7999,Qbert-v5,validation,accuracy,0
378,trained,unfrozen,7999,Qbert-v5,validation,precision,0
379,trained,unfrozen,7999,Qbert-v5,validation,recall,0
380,trained,unfrozen,7999,Qbert-v5,validation,f1score,0
381,trained,unfrozen,7999,Qbert-v5,validation,specificity,0
382,trained,unfrozen,7999,Qbert-v5,validation,auc,0
383,trained,unfrozen,7999,Qbert-v5,validation,iou,0
384,trained,unfrozen,8999,Phoenix-v5,train,loss,0.10937451086791136
385,trained,unfrozen,8999,Phoenix-v5,train,accuracy,0
386,trained,unfrozen,8999,Phoenix-v5,train,precision,0
387,trained,unfrozen,8999,Phoenix-v5,train,recall,0
388,trained,unfrozen,8999,Phoenix-v5,train,f1score,0
389,trained,unfrozen,8999,Phoenix-v5,train,specificity,0
390,trained,unfrozen,8999,Phoenix-v5,train,auc,0
391,trained,unfrozen,8999,Phoenix-v5,train,iou,0
392,trained,unfrozen,8999,Phoenix-v5,validation,loss,0.10956857004202902
393,trained,unfrozen,8999,Phoenix-v5,validation,accuracy,0
394,trained,unfrozen,8999,Phoenix-v5,validation,precision,0
395,trained,unfrozen,8999,Phoenix-v5,validation,recall,0
396,trained,unfrozen,8999,Phoenix-v5,validation,f1score,0
397,trained,unfrozen,8999,Phoenix-v5,validation,specificity,0
398,trained,unfrozen,8999,Phoenix-v5,validation,auc,0
399,trained,unfrozen,8999,Phoenix-v5,validation,iou,0
400,trained,unfrozen,8999,DemonAttack-v5,train,loss,0.05916294356975606
401,trained,unfrozen,8999,DemonAttack-v5,train,accuracy,0
402,trained,unfrozen,8999,DemonAttack-v5,train,precision,0
403,trained,unfrozen,8999,DemonAttack-v5,train,recall,0
404,trained,unfrozen,8999,DemonAttack-v5,train,f1score,0
405,trained,unfrozen,8999,DemonAttack-v5,train,specificity,0
406,trained,unfrozen,8999,DemonAttack-v5,train,auc,0
407,trained,unfrozen,8999,DemonAttack-v5,train,iou,0
408,trained,unfrozen,8999,DemonAttack-v5,validation,loss,0.05903348772668503
409,trained,unfrozen,8999,DemonAttack-v5,validation,accuracy,0
410,trained,unfrozen,8999,DemonAttack-v5,validation,precision,0
411,trained,unfrozen,8999,DemonAttack-v5,validation,recall,0
412,trained,unfrozen,8999,DemonAttack-v5,validation,f1score,0
413,trained,unfrozen,8999,DemonAttack-v5,validation,specificity,0
414,trained,unfrozen,8999,DemonAttack-v5,validation,auc,0
415,trained,unfrozen,8999,DemonAttack-v5,validation,iou,0
416,trained,unfrozen,8999,Qbert-v5,train,loss,0.21224089881628178
417,trained,unfrozen,8999,Qbert-v5,train,accuracy,0
418,trained,unfrozen,8999,Qbert-v5,train,precision,0
419,trained,unfrozen,8999,Qbert-v5,train,recall,0
420,trained,unfrozen,8999,Qbert-v5,train,f1score,0
421,trained,unfrozen,8999,Qbert-v5,train,specificity,0
422,trained,unfrozen,8999,Qbert-v5,train,auc,0
423,trained,unfrozen,8999,Qbert-v5,train,iou,0
424,trained,unfrozen,8999,Qbert-v5,validation,loss,0.21189490671341235
425,trained,unfrozen,8999,Qbert-v5,validation,accuracy,0
426,trained,unfrozen,8999,Qbert-v5,validation,precision,0
427,trained,unfrozen,8999,Qbert-v5,validation,recall,0
428,trained,unfrozen,8999,Qbert-v5,validation,f1score,0
429,trained,unfrozen,8999,Qbert-v5,validation,specificity,0
430,trained,unfrozen,8999,Qbert-v5,validation,auc,0
431,trained,unfrozen,8999,Qbert-v5,validation,iou,0
432,trained,unfrozen,9999,Phoenix-v5,train,loss,0.11040428198373364
433,trained,unfrozen,9999,Phoenix-v5,train,accuracy,0
434,trained,unfrozen,9999,Phoenix-v5,train,precision,0
